,Sno,Address,City,State code,Country,Rentel_price,Deposit
75,75,"360 Condominiums, 360 Nueces Street, Austin, TX 78701, USA", Austin, TX 78701, USA,$ 3200,
76,76,"West Highland Mall Boulevard, Austin, TX 78752, USA", Austin, TX 78752, USA,$ 4105,
77,77,"Wells Branch, TX, US", TX, US, USA,$ 1069,
78,78,"1203 West 49th Street, Austin, TX 78756, USA", Austin, TX 78756, USA,$ 1305,
79,79,"Austin, TX", TX,, USA,$ 18510,
80,80,"10610 Berthound Drive, Austin, TX 78758, USA", Austin, TX 78758, USA,$ 2300,
81,81,"8410 Lyndon Lane, Austin, TX 78729, USA", Austin, TX 78729, USA,$ 1450,
82,82,"6920 Bryn Mawr Drive, Austin, TX 78723, USA", Austin, TX 78723, USA,$ 3990,
83,83,"9207 Shady Oaks Drive, Austin, TX 78729, USA", Austin, TX 78729, USA,$ 2150,
84,84,"Austin, TX", TX,, USA,$ 5250,
85,85,"4423 Diane Drive, Austin, TX 78745, USA", Austin, TX 78745, USA,$ 3800,
86,86,"Austin, TX", TX,, USA,$ 3300,
87,87,"Austin, TX", TX,, USA,$ 3030,
88,88,"6036 Mesa Verde Circle, Austin, TX 78749, USA", Austin, TX 78749, USA,$ 2595,
89,89,"Austin, TX", TX,, USA,$ 27780,
90,90,"1500 East Side Drive, Austin, TX 78704, USA", Austin, TX 78704, USA,$ 1795,
91,91,"2819 San Gabriel Street, Austin, TX 78705, USA", Austin, TX 78705, USA,$ 2995,
92,92,"Austin, TX", TX,, USA,$ 7980,
93,93,"4304 Balcones Drive, Austin, TX 73301, USA", Austin, TX 73301, USA,$ 15000,
94,94,"9104 Rockcrest Circle, Austin, TX 78759, USA", Austin, TX 78759, USA,$ 2750,
95,95,"5703 Gloucester Lane, Austin, TX 78723, USA", Austin, TX 78723, USA,$ 1495,
96,96,"1010 West 23rd Street, Austin, TX 78705, USA", Austin, TX 78705, USA,$ 1800,
97,97,"406 Sycamore Drive, Cedar Park, TX 78613, USA", Cedar Park, TX 78613, USA,$ 2450,
98,98,"3334 Clarksburg Drive, Austin, TX 78745, USA", Austin, TX 78745, USA,$ 2350,
99,99,"910 Gullett Street, Austin, TX 78702, USA", Austin, TX 78702, USA,$ 3750,
100,100,"411 Brazos Street, Austin, TX 78701, USA", Austin, TX 78701, USA,$ 4400,
101,101,"Austin, TX", TX,, USA,$ 18960,
102,102,"9803 Chukar Circle, Austin, TX 78758, USA", Austin, TX 78758, USA,$ 950,
103,103,"2075 Grow Lane, Austin, TX 78754, USA", Austin, TX 78754, USA,$ 2399,
104,104,"Austin, TX", TX,, USA,$ 2250,
105,105,"5005 Calabria Court, Travis County, TX 78736, USA", Travis County, TX 78736, USA,$ 13500,
106,106,"Austin, TX", TX,, USA,$ 5250,
107,107,"unnamed road, Austin, TX 78731, USA", Austin, TX 78731, USA,$ 1200,
108,108,"Round Rock, TX", TX,, USA,$ 2340,
109,109,"Austin, TX, US", TX, US, USA,$ 1125,
110,110,3233 Harmon Avenue,,, USA,$ 1396,
111,111,"4000 Ranch Road 620 North, Lakeway, TX 78734, USA", Lakeway, TX 78734, USA,$ 3400,
112,112,"Austin, TX", TX,, USA,$ 8820,
113,113,"714 East 45th Street, Austin, TX 78751, USA", Austin, TX 78751, USA,$ 5500,
114,114,"Austin, TX", TX,, USA,$ 3480,
115,115,"13202 Marrero Drive, Williamson County, TX 78729, USA", Williamson County, TX 78729, USA,$ 2495,
116,116,"1425 Sir Thopas Trail, Austin, TX 78748, USA", Austin, TX 78748, USA,$ 2300,
117,117,"19909 Sap Cove, Pflugerville, TX 78664, USA", Pflugerville, TX 78664, USA,$ 3295,
118,118,"5918 Mesa Verde Circle, Austin, TX 78749, USA", Austin, TX 78749, USA,$ 2400,
119,119,"Austin, TX", TX,, USA,$ 3750,
120,120,"700 E Wells Branch Pkwy, Unit 7207", Unit 7207,, USA,$ 1999,
121,121,"Austin, TX", TX,, USA,$ 42270,
122,122,"Austin, Lakeshore, TX, US", Lakeshore, TX, US,$ 849,
123,123,"5601 Joe Sayers Avenue, Austin, TX 78756, USA", Austin, TX 78756, USA,$ 1600,
124,124,"2001 Faro Drive, Austin, TX 78741, USA", Austin, TX 78741, USA,$ 2185,
125,125,"Austin, TX", TX,, USA,$ 12150,
126,126,"Austin, Wooten, TX, US", Wooten, TX, US,$ 945,
127,127,"5301 Ravensdale Lane, Austin, TX 78723, USA", Austin, TX 78723, USA,$ 2200,
128,128,"124 Cumberland Road, Austin, TX 78704, USA", Austin, TX 78704, USA,$ 3300,
129,129,"7303 Loganberry Drive, Austin, TX 78745, USA", Austin, TX 78745, USA,$ 2750,
130,130,"Austin, TX", TX,, USA,$ 16980,
131,131,"Austin, TX", TX,, USA,$ 7410,
132,132,"Austin, TX", TX,, USA,$ 2640,
133,133,2017 Bluebonnet Lane,,, USA,$ 1590,
134,134,"10511 Glass Mountain Trail, Austin, TX 78750, USA", Austin, TX 78750, USA,$ 3200,
135,135,"Austin, TX", TX,, USA,$ 4350,
136,136,"3000 Speedway, Austin, TX 78705, USA", Austin, TX 78705, USA,$ 3300,
137,137,"Austin, TX", TX,, USA,$ 16500,
138,138,"3212 Red River Street, Austin, TX 78722, USA", Austin, TX 78722, USA,$ 1900,
