,Sno,Washer/Dryer,Air_Conditioning,Parking,Fireplace,Dishwasher,Hardwood_floor,Roofdeck,Storage
142,142,No,No,No,No,No,No,No,No
143,143,Yes,No,Yes,No,No,No,No,No
144,144,No,No,No,No,No,No,No,No
145,145,No,No,No,No,No,No,No,No
146,146,No,No,No,No,No,No,No,No
147,147,No,No,No,No,No,No,No,No
148,148,No,Yes,Yes,No,No,No,No,No
149,149,No,No,No,No,No,No,No,No
150,150,No,No,No,No,Yes,Yes,No,No
151,151,No,Yes,No,No,No,No,No,No
152,152,No,No,Yes,No,Yes,No,No,No
153,153,No,No,Yes,No,No,No,No,No
154,154,No,Yes,No,No,No,No,No,No
155,155,No,Yes,Yes,No,Yes,No,No,No
156,156,No,No,Yes,No,No,No,No,No
157,157,No,No,No,No,No,No,No,No
158,158,No,No,No,No,No,No,No,No
159,159,No,No,No,No,No,Yes,No,No
160,160,No,Yes,Yes,No,Yes,No,No,No
161,161,No,No,No,No,No,No,No,No
162,162,No,Yes,No,No,No,No,No,No
163,163,No,No,No,No,No,No,No,No
164,164,No,No,No,No,No,No,No,No
165,165,No,Yes,No,No,Yes,No,No,No
166,166,No,Yes,No,No,No,Yes,No,Yes
167,167,No,No,No,No,No,No,No,No
168,168,No,Yes,No,No,No,No,No,No
169,169,No,No,No,No,Yes,Yes,No,Yes
170,170,No,Yes,Yes,No,Yes,No,No,No
171,171,No,No,No,No,No,No,No,No
172,172,No,No,No,No,No,No,No,No
173,173,No,Yes,Yes,No,Yes,No,No,No
174,174,No,Yes,No,No,No,No,No,No
175,175,No,Yes,Yes,No,No,No,No,No
176,176,No,No,Yes,No,No,No,No,No
177,177,No,No,No,No,No,No,No,No
178,178,No,No,No,No,No,No,No,No
179,179,No,No,No,No,No,No,No,No
180,180,No,No,No,No,No,No,No,No
181,181,No,No,No,No,No,No,No,No
182,182,No,No,No,No,Yes,No,No,Yes
183,183,No,Yes,No,No,No,No,No,No
184,184,No,No,No,No,No,No,No,No
185,185,No,No,No,No,No,No,No,No
